5550001	0005550001B+17_04_14+37944+85.91
5550002	5550002A+17_04_21+21540+78.85
5550002	5550002B+17_04_21+15636+73.62
5550003	0005550003A+17_03_21+47584+82.71
5550003	0005550003A+17_03_24+29789+84.49
5550003	0005550003B+17_03_21+43618+82.05
5550003	0005550003B+17_03_24+27069+84.66
5550003	5550003A+17_03_17+934+31.95
5550003	5550003B+17_03_17+1286+31.88
5550004	0005550004A+17_03_21+61628+82.5
5550004	0005550004A+17_03_24+37855+83.93
5550004	0005550004B+17_03_21+52096+83.07
5550004	0005550004B+17_03_24+27216+85.38
5550004	5550004A+17_03_17+131+28.59
5550004	5550004B+17_03_17+46+28.72
5550005	0005550005A+17_03_21+48788+82.13
5550005	0005550005A+17_03_24+27110+84.94
5550005	0005550005B+17_03_21+42882+80.81
5550005	0005550005B+17_03_24+22000+82.23
5550006	0005550006A+17_03_21+54681+83.68
5550006	0005550006A+17_03_24+44484+84.84
5550006	0005550006B+17_03_21+63051+83.34
5550006	0005550006B+17_03_24+41029+86.16
5550006	5550006A+17_03_17+40+31.63
5550006	5550006B+17_03_17+22+29.87
5550007	5550007+17_06_05+22275+53.37
5550007	5550007+17_06_13+21648+79.41
5550007	5550007+17_06_23+1211+88.7
5550008	0005550008A+17_03_21+39015+83.94
5550008	0005550008A+17_03_24+25031+85.8
5550008	0005550008B+17_03_21+37882+83.28
5550008	0005550008B+17_03_24+23572+86.01
5550008	5550008A+17_03_17+761+32.31
5550008	5550008B+17_03_17+1183+32.83
5550009	0005550009A+17_03_21+53663+82.93
5550009	0005550009A+17_03_24+32925+84.21
5550009	0005550009B+17_03_21+60378+83.26
5550009	0005550009B+17_03_24+31091+85.95
5550009	5550009A+17_03_17+133+28.32
5550009	5550009B+17_03_17+37+29.72
5550011	0005550011A+17_03_21+37236+83.08
5550011	0005550011A+17_03_24+21714+85.48
5550011	0005550011B+17_03_21+34840+81.98
5550011	0005550011B+17_03_24+18510+82.9
5550012	5550012+17_05_16+61095+89.97
5550012	0005550012-2+17_05_16+16109+89.45
5550013	0005550013B+17_04_14+52066+85.09
5550014	5550014A+17_04_21+17673+74.92
5550014	5550014B+17_04_21+26458+78.41
5550015	0005550015A+17_03_21+34034+84.41
5550015	0005550015A+17_03_24+27753+85.77
5550015	0005550015B+17_03_21+54494+84
5550015	0005550015B+17_03_24+35372+86.69
5550015	5550015A+17_03_17+31+29.96
5550015	5550015B+17_03_17+17+31.26
5550016	0005550016B+17_04_14+79145+85.45
5550017	5550017A+17_04_21+21327+78.2
5550017	5550017B+17_04_21+25397+76.56
5550018	0005550018B+17_04_14+21382+84.16
5550019	0005550019A+17_03_21+33917+82.48
5550019	0005550019A+17_03_24+21082+83.86
5550019	0005550019B+17_03_21+37147+81.68
5550019	0005550019B+17_03_24+22114+84.2
5550019	5550019A+17_03_17+637+31.75
5550019	5550019B+17_03_17+1050+31.33
5550021	0005550021A+17_03_21+43895+82.37
5550021	0005550021A+17_03_24+27061+83.52
5550021	0005550021B+17_03_21+38857+82.78
5550021	0005550021B+17_03_24+20084+85.34
5550021	5550021A+17_03_17+110+28.39
5550021	5550021B+17_03_17+28+32.84
5550022	0005550022A+17_03_21+37308+82.12
5550022	0005550022A+17_03_24+20761+84.77
5550022	0005550022B+17_03_21+41229+81.05
5550022	0005550022B+17_03_24+21471+82.05
5550023	0005550023A+17_03_21+37550+82.5
5550023	0005550023A+17_03_24+29586+83.41
5550023	0005550023B+17_03_21+48420+82.11
5550023	0005550023B+17_03_24+31204+84.82
5550023	5550023A+17_03_17+22+30.07
5550023	5550023B+17_03_17+23+29.35
5550025	0005550025B+17_04_14+19933+86.08
5550027	5550027A+17_04_21+20754+78.62
5550027	5550027B+17_04_21+30125+77.19
5550028	5550028+17_06_05+103529+57.12
5550028	5550028+17_06_13+25058+80.43
5550028	5550028+17_06_23+1266+90.09
5550030	5550030+17_05_16+48573+85.98
5550031	5550031A+17_04_21+36885+78.34
5550031	5550031B+17_04_21+36878+78.62
5550033	5550033+17_05_16+59811+87.77
5550034	0005550034A+17_03_21+43994+81.78
5550034	0005550034A+17_03_24+27934+82.06
5550034	0005550034B+17_03_21+36975+81.07
5550034	0005550034B+17_03_24+22769+82.39
5550034	5550034A+17_03_17+771+30.17
5550034	5550034B+17_03_17+1020+30
5550035	5550035A+17_04_21+18249+73.4
5550035	5550035B+17_04_21+29541+77.2
5550036	0005550036A+17_03_21+51557+81.4
5550036	0005550036A+17_03_24+31532+81.58
5550036	0005550036B+17_03_21+65320+81.85
5550036	0005550036B+17_03_24+32649+83.26
5550036	5550036A+17_03_17+123+26.17
5550036	5550036B+17_03_17+53+28
5550037	0005550037A+17_03_21+59553+80.19
5550037	0005550037A+17_03_24+32771+81.98
5550037	0005550037B+17_03_21+58026+78.86
5550037	0005550037B+17_03_24+29700+79.11
5550038	5550038A+17_04_21+15632+74.6
5550038	5550038B+17_04_21+25915+78.55
5550040	0005550040A+17_03_21+48130+82.34
5550040	0005550040A+17_03_24+38923+82.19
5550040	0005550040B+17_03_21+59741+82.1
5550040	0005550040B+17_03_24+38763+83.74
5550040	5550040A+17_03_17+32+28.23
5550040	5550040B+17_03_17+27+27.63
5550041	0005550041A+17_03_21+37924+82.59
5550041	0005550041A+17_03_24+23578+84.47
5550041	0005550041B+17_03_21+42428+82.13
5550041	0005550041B+17_03_24+25888+84.78
5550041	5550041A+17_03_17+704+31.8
5550041	5550041B+17_03_17+1246+32.01
5550042	5550042+17_05_16+66235+89.59
5550043	5550043A+17_04_21+32346+78.58
5550043	5550043B+17_04_21+34403+79.39
5550044	5550044A+17_04_21+20986+78.38
5550044	5550044B+17_04_21+24002+77.98
